src	trg	degree
Tessa	Lukas Graham	59
Tessa	Jada	55
Tessa	Don Stefano	56
Tessa	Saint clara	53
Tessa	Benjamin Hav	135
Tessa	Benjamin Lasnier	53
Tessa	Pilfinger	57
Tessa	Balken	53
Tessa	Søren-William Hardam Nohns	54
Tessa	Esben Zefting	54
Tessa	Karen Mukupa	50
Tessa	Søs Fenger	52
Tessa	Hooman Beats	52
Tessa	LEVON	52
Tessa	TopGunn	128
Tessa	T&O	61
Tessa	KEWAN LIGGER BEATET NORMALT	68
Tessa	DJ Aligator	50
Tessa	ICEKIID	103
Tessa	Asmus Harm	58
Tessa	Emil Harm	59
Tessa	Livid	59
Tessa	Azhar Saleh	50
Tessa	LukasBL	56
Tessa	Lamin	65
Tessa	Benny Jamz	104
Tessa	Asbjørn	51
Tessa	Jamie Kamara	52
Tessa	Anton Westerlin	123
Tessa	Pierre	50
Tessa	Denise joan	50
Tessa	Buse - Coffee and Crescendos	50
Tessa	Romy	50
Tessa	Mark de Groot	50
Tessa	Davey	50
Tessa	Sneak (Dutch)	50
Tessa	Stijn	50
Tessa	Ankerstjerne	119
Tessa	Karl William	86
Tessa	Rune Rask	149
Benny Jamz	MellemFingaMuzik	80
Benny Jamz	B.O.C	62
Benny Jamz	Branco	151
Benny Jamz	Sivas	78
Benny Jamz	Ish (DNK)	58
Benny Jamz	​tais	63
Benny Jamz	Nicki Pooyandeh	72
Benny Jamz	Hennedub	68
Benny Jamz	Lamin	71
Benny Jamz	MAS	64
Benny Jamz	Kundo	59
Benny Jamz	Kimbo	64
Benny Jamz	Albino	56
Benny Jamz	Stepz (DNK)	67
Benny Jamz	Noah Carter	101
Benny Jamz	T&O	67
Benny Jamz	Hossy	63
Benny Jamz	K.N.O.X. (DNK)	61
Benny Jamz	Gio (DNK)	67
Benny Jamz	Semphiz	67
Benny Jamz	Tjes	61
Benny Jamz	Sultan	61
Benny Jamz	Ataf Khawaja	64
Benny Jamz	ATYPISK	99
Benny Jamz	Stat-Ez	63
Benny Jamz	Skurken	65
Benny Jamz	Mass Ebdrup	62
Benny Jamz	Danny Davinci	61
Benny Jamz	AMRO	58
Benny Jamz	Packness	56
Benny Jamz	Malek (DNK)	57
Benny Jamz	Anton Westerlin	129
Benny Jamz	Jacobsen	57
Benny Jamz	Lord Siva	101
Benny Jamz	Govana	57
Benny Jamz	Adam Sampler	58
Benny Jamz	Jesper “Vivid” Vestergaard	61
Benny Jamz	Orgi-E	69
Benny Jamz	Mike Lowrey	66
Benny Jamz	Oliver Zoéga	58
Benny Jamz	Lukas Forchhammer	58
Benny Jamz	KIDD (DNK)	65
Benny Jamz	Stanley Most	59
Benny Jamz	FSL	56
Benny Jamz	Wafande	63
Benny Jamz	Skinz (DNK)	62
Benny Jamz	Hans Philip	113
Benny Jamz	NODE	81
Benny Jamz	Jamaika	92
Benny Jamz	Carmon	118
Gobs	Jeppe Rønn	37
Gobs	UPNORTH	35
Gobs	One Two	35
Gobs	Mike Lowrey	45
Gobs	Jimilian	78
Gobs	Oochie	39
Gobs	Kephoi	41
Gobs	J.R. (DNK)	35
Gobs	David Björk	35
Gobs	Carl-Philip Ström	35
Gobs	Frederik Smith-Petersen	35
Gobs	NODE	60
Gobs	Jesper “Vivid” Vestergaard	40
Gobs	Ramz (DNK)	36
Gobs	Hjalmer	35
Gobs	Thomas Helmig	38
Gobs	Ricky Rich	38
Gobs	Lasse Skriver	35
Gobs	Fouli	43
Gobs	MAS	43
Gobs	ICEKIID	88
Gobs	Lukas Visti	35
Gobs	Aitch	35
Gobs	Branco	130
Gobs	Lasse Kristensen	35
